domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
kfc.co.in,failed,,,,,,0.1,[WinError 10054] An existing connection was forcibly closed by the remote host
mcdonaldsindia.com,ok,27.98,61.36,119.34,2,94.49,0.1,
pizzahut.co.in,ok,95.06,195.69,388.68,2,98.62,0.1,
dominos.co.in,ok,86.7,178.92,354.94,2,98.38,0.1,
cocacolaindia.com,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
pepsicoindia.co.in,ok,8.47,22.34,41.3,2,84.87,0.1,
mtrfoods.com,ok,411.77,831.01,1667.0,2,100.6,0.1,
haldirams.com,ok,183.11,372.32,744.08,2,99.85,0.1,
parleproducts.com,ok,10.89,27.18,50.98,2,87.56,0.1,
britannia.co.in,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)
amul.com,ok,4.45,14.3,25.22,2,76.36,0.1,
nestle.in,ok,5.31,16.02,28.66,2,78.9,0.1,
itcportal.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
hindustanunilever.com,ok,7.8,21.0,38.62,2,83.9,0.1,
dabur.com,ok,5.47,16.34,29.3,2,79.31,0.1,
patanjaliayurved.net,ok,34.55,74.5,145.62,2,95.46,0.1,
muscleblaze.com,ok,23.77,52.94,102.5,2,93.62,0.1,
myprotein.co.in,ok,6.01,17.42,31.46,2,80.6,0.1,
decathlon.in,ok,26.55,58.5,113.62,2,94.22,0.1,
underarmour.in,ok,38.81,83.02,162.66,2,95.93,0.1,
asics.com,ok,104.86,215.35,428.24,2,98.86,0.1,
reebok.in,ok,150.62,307.15,612.94,2,99.56,0.1,
nike.com,ok,125.45,256.65,511.35,2,99.24,0.1,
adidas.co.in,ok,19.94,45.28,87.18,2,92.54,0.1,
puma.com,ok,21.63,48.66,93.94,2,93.05,0.1,
ruosh.com,ok,34.07,73.54,143.7,2,95.4,0.1,
metroshoes.com,ok,51.46,108.32,213.26,2,96.88,0.1,
bata.in,ok,39.88,85.16,166.94,2,96.03,0.1,
casio-intl.com,failed,,,,,,0.1,[WinError 10054] An existing connection was forcibly closed by the remote host
sonatawatches.in,ok,2.55,10.5,17.62,2,67.81,0.1,
fastrack.in,ok,5.62,16.64,29.9,2,79.69,0.1,
titan.co.in,ok,23.49,52.38,101.38,2,93.55,0.1,
suzukimotorcycle.co.in,ok,16.02,37.44,71.5,2,90.97,0.1,
yamahamotor-india.com,ok,16.14,37.68,71.98,2,91.03,0.1,
royalenfield.com,ok,198.09,402.37,804.54,2,99.95,0.1,
tvsmotor.com,ok,27.63,60.66,117.94,2,94.43,0.1,
bajajauto.com,ok,21.28,47.96,92.54,2,92.95,0.1,
heromotocorp.com,failed,,,,,,0.1,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
renault.co.in,ok,42.0,89.4,175.42,2,96.22,0.1,
volkswagen.co.in,ok,66.93,139.26,275.15,2,97.58,0.1,
skoda-auto.co.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
kiamotors.in,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
hondacarindia.com,ok,27.73,60.86,118.34,2,94.45,0.1,
toyotabharat.com,ok,7.98,21.36,39.34,2,84.18,0.1,
mahindra.com,ok,10.97,27.34,51.3,2,87.64,0.1,
tatamotors.com,ok,57.24,119.88,236.38,2,97.18,0.1,
hyundai.com,ok,11.08,27.56,51.74,2,87.74,0.1,
marutisuzuki.com,ok,75.46,156.37,309.57,2,97.97,0.1,
firebase.google.com,ok,31.86,69.12,134.86,2,95.11,0.1,
netlify.com,ok,9.31,24.02,44.66,2,85.93,0.1,
vercel.com,ok,9.44,24.28,45.18,2,86.08,0.1,
heroku.com,ok,35.32,76.04,148.7,2,95.55,0.1,
digitalocean.com,ok,41.94,89.28,175.18,2,96.21,0.1,
namecheap.com,ok,71.52,148.47,293.67,2,97.8,0.1,
crazydomains.in,ok,52.22,109.84,216.3,2,96.92,0.1,
bluehost.in,ok,76.17,157.8,312.44,2,98.0,0.1,
bigrock.in,ok,143.08,292.02,582.5,2,99.47,0.1,
hostinger.in,ok,87.62,180.77,358.65,2,98.4,0.1,
godaddy.com,ok,84.41,174.33,345.7,2,98.3,0.1,
shopify.in,ok,161.56,329.09,657.09,2,99.67,0.1,
wix.com,ok,5.47,16.34,29.3,2,79.31,0.1,
wordpress.com,ok,36.85,79.1,154.82,2,95.73,0.1,
cloud.google.com,ok,51.62,108.64,213.9,2,96.89,0.1,
azure.microsoft.com,ok,86.35,178.22,353.53,2,98.37,0.1,
aws.amazon.com,ok,138.88,283.59,565.55,2,99.43,0.1,
stackoverflow.com,ok,160.61,327.19,653.26,2,99.66,0.1,
github.com,ok,23.46,52.32,101.26,2,93.54,0.1,
medium.com,ok,41.82,89.04,174.7,2,96.2,0.1,
quora.com,ok,38.43,82.26,161.14,2,95.89,0.1,
udemy.com,ok,34.74,74.88,146.38,2,95.49,0.1,
coursera.org,ok,155.74,317.42,633.6,2,99.61,0.1,
greatlearning.in,ok,217.65,441.61,883.49,2,100.06,0.1,
simplilearn.com,ok,103.13,211.88,421.26,2,98.82,0.1,
upgrad.com,ok,90.91,187.37,371.93,2,98.5,0.1,
physicswallah.live,ok,83.13,171.76,340.53,2,98.26,0.1,
toppr.com,failed,,,,,,0.1,[Errno 11001] getaddrinfo failed
vedantu.com,ok,108.67,222.99,443.62,2,98.94,0.1,
byjus.com,ok,3.66,12.72,22.06,2,73.43,0.1,
unacademy.com,ok,93.88,193.32,383.92,2,98.59,0.1,
instamojo.com,ok,92.59,190.74,378.72,2,98.55,0.1,
pine-labs.com,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
billdesk.com,failed,,,,,,0.1,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'billdesk.com'. (_ssl.c:1000)"
chargebee.com,ok,105.15,215.93,429.41,2,98.87,0.1,
razorpay.com,ok,87.72,180.97,359.06,2,98.41,0.1,
browserstack.com,ok,54.79,114.98,226.58,2,97.06,0.1,
postman.com,ok,59.28,123.96,244.54,2,97.27,0.1,
freshworks.com,ok,60.59,126.58,249.78,2,97.33,0.1,
zoho.com,ok,87.41,180.35,357.81,2,98.4,0.1,
cyient.com,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
hexaware.com,ok,29.1,63.6,123.82,2,94.69,0.1,
mindtree.com,failed,,,,,,0.1,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mindtree.com'. (_ssl.c:1000)"
mphasis.com,ok,32.59,70.58,137.78,2,95.21,0.1,
ltimindtree.com,ok,104.67,214.97,427.47,2,98.85,0.1,
