domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
kfc.co.in,failed,,,,,,1.2,[WinError 10054] An existing connection was forcibly closed by the remote host
mcdonaldsindia.com,ok,206.21,432.54,926.28,2,114.15,1.2,
pizzahut.co.in,ok,337.35,704.43,1512.17,2,114.67,1.2,
dominos.co.in,ok,192.03,403.14,862.93,2,114.05,1.2,
cocacolaindia.com,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
pepsicoindia.co.in,ok,236.37,495.07,1061.02,2,114.32,1.2,
mtrfoods.com,ok,604.65,1258.63,2706.38,2,115.03,1.2,
haldirams.com,ok,90.72,193.09,410.31,2,112.5,1.2,
parleproducts.com,ok,90.71,193.07,410.26,2,112.49,1.2,
britannia.co.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)
amul.com,ok,180.32,378.86,810.61,2,113.96,1.2,
nestle.in,ok,82.35,175.74,372.91,2,112.19,1.2,
itcportal.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
hindustanunilever.com,ok,450.46,938.95,2017.51,2,114.87,1.2,
dabur.com,ok,49.96,109.81,236.02,2,114.93,1.2,
patanjaliayurved.net,ok,102.67,217.87,463.7,2,112.83,1.2,
muscleblaze.com,ok,85.18,181.61,385.56,2,112.3,1.2,
myprotein.co.in,ok,174.62,367.04,785.14,2,113.91,1.2,
decathlon.in,ok,217.16,455.24,975.2,2,114.22,1.2,
underarmour.in,ok,108.43,229.81,489.43,2,112.97,1.2,
asics.com,ok,174.33,366.44,783.85,2,113.91,1.2,
reebok.in,ok,94.47,200.87,427.06,2,112.61,1.2,
nike.com,ok,96.59,205.26,436.53,2,112.67,1.2,
adidas.co.in,ok,7.07,24.03,64.46,2,168.25,1.2,
puma.com,ok,24.83,59.55,135.5,2,127.54,1.2,
ruosh.com,ok,93.19,198.21,421.34,2,112.57,1.2,
metroshoes.com,ok,37.43,84.75,185.9,2,119.35,1.2,
bata.in,ok,15.13,40.15,96.7,2,140.85,1.2,
casio-intl.com,failed,,,,,,1.2,[WinError 10054] An existing connection was forcibly closed by the remote host
sonatawatches.in,ok,62.82,135.53,287.46,2,112.1,1.2,
fastrack.in,ok,47.6,105.09,226.58,2,115.61,1.2,
titan.co.in,ok,173.14,363.97,778.53,2,113.9,1.2,
suzukimotorcycle.co.in,ok,95.12,202.21,429.96,2,112.63,1.2,
yamahamotor-india.com,ok,30.74,71.37,159.14,2,122.98,1.2,
royalenfield.com,ok,87.16,185.71,394.4,2,112.37,1.2,
tvsmotor.com,ok,11.68,33.25,82.9,2,149.32,1.2,
