domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
kfc.co.in,failed,,,,,,3.5,[WinError 10054] An existing connection was forcibly closed by the remote host
mcdonaldsindia.com,ok,91.84,209.03,519.34,2,148.45,3.5,
pizzahut.co.in,ok,94.5,214.94,534.24,2,148.55,3.5,
dominos.co.in,ok,206.19,463.06,1159.74,2,150.45,3.5,
cocacolaindia.com,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
pepsicoindia.co.in,ok,4.1,27.97,128.09,2,357.95,3.5,
mtrfoods.com,ok,300.9,673.47,1690.15,2,150.96,3.5,
haldirams.com,ok,300.83,673.31,1689.76,2,150.96,3.5,
parleproducts.com,ok,73.88,169.13,418.76,2,147.6,3.5,
britannia.co.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1000)
amul.com,ok,28.88,77.53,227.21,2,193.06,3.5,
nestle.in,ok,6.36,32.49,137.13,2,322.07,3.5,
itcportal.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
hindustanunilever.com,ok,722.67,1610.46,4052.22,2,151.62,3.5,
dabur.com,ok,23.53,66.83,205.81,2,207.96,3.5,
patanjaliayurved.net,ok,189.9,426.87,1068.51,2,150.31,3.5,
muscleblaze.com,ok,274.19,614.13,1540.57,2,150.85,3.5,
myprotein.co.in,ok,202.16,454.11,1137.17,2,150.42,3.5,
decathlon.in,ok,174.49,392.64,982.21,2,150.16,3.5,
underarmour.in,ok,6.0,31.77,135.69,2,327.1,3.5,
asics.com,ok,209.13,469.6,1176.21,2,150.47,3.5,
reebok.in,ok,93.99,213.8,531.38,2,148.54,3.5,
nike.com,ok,186.8,419.99,1051.15,2,150.28,3.5,
adidas.co.in,ok,12.96,45.69,163.53,2,257.91,3.5,
puma.com,ok,56.54,132.85,337.85,2,154.31,3.5,
ruosh.com,ok,6.55,32.87,137.89,2,319.5,3.5,
metroshoes.com,ok,408.72,913.0,2293.99,2,151.26,3.5,
bata.in,ok,71.18,163.13,403.63,2,147.43,3.5,
casio-intl.com,failed,,,,,,3.5,[WinError 10054] An existing connection was forcibly closed by the remote host
sonatawatches.in,ok,116.65,264.15,658.28,2,149.21,3.5,
fastrack.in,ok,56.54,132.85,337.85,2,154.31,3.5,
titan.co.in,ok,59.64,139.05,350.25,2,151.89,3.5,
suzukimotorcycle.co.in,ok,93.78,213.34,530.2,2,148.52,3.5,
yamahamotor-india.com,ok,4.57,28.91,129.97,2,349.57,3.5,
royalenfield.com,ok,192.74,433.18,1084.42,2,150.34,3.5,
tvsmotor.com,ok,10.45,40.67,153.49,2,277.4,3.5,
bajajauto.com,ok,3.77,27.31,126.77,2,364.19,3.5,
heromotocorp.com,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
renault.co.in,ok,359.0,802.54,2015.54,2,151.15,3.5,
volkswagen.co.in,ok,5.55,30.87,133.89,2,333.72,3.5,
skoda-auto.co.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
kiamotors.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
hondacarindia.com,ok,27.24,74.25,220.65,2,197.17,3.5,
toyotabharat.com,ok,456.13,1018.32,2559.5,2,151.35,3.5,
mahindra.com,ok,63.55,146.87,365.89,2,149.13,3.5,
tatamotors.com,ok,56.15,132.07,336.29,2,154.63,3.5,
hyundai.com,ok,5.25,30.27,132.69,2,338.35,3.5,
marutisuzuki.com,ok,155.46,350.36,875.63,2,149.92,3.5,
firebase.google.com,ok,43.41,106.59,285.33,2,167.69,3.5,
netlify.com,ok,110.23,249.88,622.33,2,149.05,3.5,
vercel.com,ok,13.91,47.59,167.33,2,251.61,3.5,
heroku.com,ok,106.61,241.84,602.06,2,148.95,3.5,
digitalocean.com,ok,24.71,69.19,210.53,2,204.28,3.5,
namecheap.com,ok,39.1,97.97,268.09,2,173.64,3.5,
crazydomains.in,ok,67.72,155.44,384.26,2,147.21,3.5,
bluehost.in,ok,50.17,120.11,312.37,2,160.07,3.5,
bigrock.in,ok,67.54,155.04,383.25,2,147.19,3.5,
hostinger.in,ok,96.84,220.14,547.34,2,148.63,3.5,
godaddy.com,ok,83.02,189.43,469.94,2,148.08,3.5,
shopify.in,ok,91.21,207.63,515.81,2,148.43,3.5,
wix.com,ok,5.23,30.23,132.61,2,338.67,3.5,
wordpress.com,ok,60.14,140.05,352.25,2,151.52,3.5,
cloud.google.com,ok,196.05,440.54,1102.95,2,150.36,3.5,
azure.microsoft.com,ok,113.37,256.86,639.91,2,149.13,3.5,
aws.amazon.com,ok,81.17,185.32,459.58,2,147.99,3.5,
stackoverflow.com,ok,68.63,157.47,389.35,2,147.25,3.5,
github.com,ok,38.91,97.59,267.33,2,173.93,3.5,
medium.com,ok,93.93,213.67,531.04,2,148.53,3.5,
quora.com,ok,32.68,85.13,242.41,2,184.75,3.5,
udemy.com,ok,64.22,148.21,368.57,2,148.68,3.5,
coursera.org,ok,97.6,221.82,551.6,2,148.67,3.5,
greatlearning.in,ok,80.85,184.61,457.79,2,147.98,3.5,
simplilearn.com,ok,185.86,417.9,1045.89,2,150.27,3.5,
upgrad.com,ok,203.95,458.09,1147.2,2,150.43,3.5,
physicswallah.live,ok,99.49,226.02,562.18,2,148.73,3.5,
toppr.com,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
